title,artist,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
If You See Him,Kyla Brox,1nPXV1tU2TwxWCcGEI2NR3,0.604,0.289,9,-11.734,0,0.0785,0.804,0.00416,0.221,0.159,73.989
No Riders,Shannon Curfman,0NHW16lrKx7ra3ix9xKqxh,0.642,0.814,0,-5.641,1,0.0281,0.108,0.00129,0.141,0.824,107.062
Back To The River,Susan Tedeschi,2DMnCy43xnMVX2eglYtn6R,0.671,0.771,11,-6.883,0,0.0634,0.423,2.05e-06,0.158,0.689,92.256
Stay with Me,Laurie Morvan,3ZFwoOTjcVzVOcFM08NsjG,0.27,0.7,9,-4.855,0,0.0454,0.182,7.64e-06,0.0924,0.619,188.996
Call on God,Sharon Jones & The Dap-Kings,0MY6kBXw8kbDgJiAoO0RUk,0.47,0.492,5,-7.204,1,0.0317,0.657,0.0,0.199,0.478,120.311
Woman Like Me,Elles Bailey,4apFuI4ptvZBNkPwGr7gpd,0.61,0.574,5,-8.307,0,0.0349,0.123,6.68e-05,0.295,0.554,109.982
Sunroof Diesel Blues,MY BABY,4LnBMZp3RkuL87BQMgeMaF,0.695,0.637,1,-9.234,1,0.04,0.452,0.000458,0.0851,0.882,104.39
A Blues Malfunktion,Beat Fatigue,5Ce88giAKr6fK4wj5wztGw,0.83,0.665,0,-3.81,1,0.0777,0.225,0.156,0.0888,0.76,99.962
Fatboy,Gary Moore,4AE3o0Zl933eTmA2FV0LPF,0.588,0.973,9,-6.195,1,0.0444,9.32e-05,0.8,0.657,0.964,109.955
Shake 'Em on Down,R.L. Burnside,1yxCax1l0O8p3lik3WvamC,0.669,0.902,8,-4.318,0,0.0979,0.015,0.142,0.286,0.671,98.992
Black Blood,R3YAN,3xQSVngL4OJu5RXAchFQPm,0.564,0.546,9,-6.899,0,0.0278,0.139,0.0,0.419,0.187,99.93
That's Alright,Fab Samperi,1jRIILpPBwSVssnrXGV5hS,0.816,0.771,2,-6.414,1,0.0342,0.276,0.00242,0.157,0.893,109.965
Hurricane,Mississippi Big Beat,3NcNF2tvTqGgnHkhqNK8cX,0.676,0.662,7,-4.061,1,0.0324,0.0148,0.00682,0.104,0.154,104.001
Electrified,MY BABY,4eBayoY8UpRAtoHqumgPeU,0.791,0.526,1,-11.448,1,0.0428,0.118,0.699,0.34,0.316,126.216
It's Bad You Know,R.L. Burnside,1AcvqJhm4CXOFJ7INbR5rR,0.814,0.754,0,-9.531,1,0.0739,0.0989,0.0493,0.114,0.739,114.944
Why Not?,Akolo,5ygOxeRiafW51ViBgiXLf8,0.701,0.731,7,-9.593,1,0.0809,0.00708,0.139,0.747,0.669,109.905
Tale of A.G. Smith,Charlie Beale,5aurQvInAVl4pdWzCXvlWM,0.762,0.685,11,-7.599,0,0.0268,0.275,0.00692,0.151,0.664,109.964
Honeybee Blues,The Tao Of Groove,36ED2y9oraEa2mIp1DDxXT,0.799,0.762,11,-7.675,0,0.0662,0.0275,0.39,0.369,0.825,99.967
A Blues Thang,Basement Freaks,1xuBWp4HuSE6Yast5lmVPv,0.79,0.838,4,-5.497,0,0.136,0.0685,8.37e-05,0.102,0.916,97.976
Back Against The Wall,Euphoria,25ddyTkfz4p7Bvprc66ZyV,0.605,0.988,7,-3.768,1,0.0693,0.0334,0.79,0.312,0.763,93.965
Shuck Dub,R.L. Burnside,7lNr4eqSP7MCUCbDUGHWRo,0.602,0.467,1,-11.087,1,0.301,0.155,0.807,0.32,0.171,185.113
Seeing Red,MY BABY,27CSMEytwIjbQJG0118q4a,0.903,0.365,5,-10.653,0,0.101,0.168,0.0465,0.0728,0.519,127.213
Go On Home,Gary Moore,4K9APmIfS2d1eojcx04aDp,0.531,0.989,1,-4.577,0,0.0833,0.00164,0.55,0.328,0.332,125.808
Stick Em Up,Charlie Beale,2s9BHqNHVkbhYCbE5tAMre,0.589,0.925,7,-4.276,1,0.0748,0.00334,0.643,0.185,0.646,194.056
Psycho Sam,Jeff Beck,30gsKtkGEylGX4m7obkefo,0.501,0.954,5,-6.246,1,0.0894,0.0011,0.872,0.948,0.372,136.178
Stand Together - Original Mix,Jamie Berry,2C2G0ZtrQhBa9X6XcbWRH4,0.797,0.499,6,-8.872,1,0.0552,0.119,5.4e-05,0.0466,0.608,100.102
John the Revelator,Depeche Mode,5SZFOK8XMVoY7mvSfTpegS,0.638,0.957,6,-2.349,0,0.0574,0.0501,0.0104,0.355,0.527,130.013
Sure Thing,St Germain,1msXkHv84LKikJGKcfdGBu,0.772,0.451,0,-12.242,1,0.0551,0.501,0.7,0.213,0.558,96.086
