title,artist,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Where Love Lives (Come On In) - Classic Mix,Alison Limerick,0ilZMeXHPKDPjUc4Neu04f,0.708,0.566,11,-10.142,0,0.0362,0.000127,0.0338,0.29,0.731,121.997
Passion - Naked Edit,Gat Decor,0ZBPWoRkfZ8SLcDJaFnkUu,0.71,0.625,5,-15.3,0,0.0414,0.00418,0.935,0.109,0.183,124.876
Good Life,Inner City,5sJiLlgQKBL81QCTOkoLB5,0.716,0.783,4,-12.876,0,0.0496,0.172,0.0346,0.0327,0.952,121.306
U Don't Know Me (feat. Duane Harden),Armand Van Helden,0TN9m8rp3ZuNi4JwCKSans,0.742,0.756,10,-6.197,1,0.0825,0.0213,0.0227,0.0553,0.81,129.963
Free - Mood II Swing Remix,Sebastian Gamboa,2FrCwt008k0xqtCFH1VaTZ,0.726,0.907,5,-5.009,0,0.0894,0.000916,0.000521,0.217,0.498,124.841
Promised Land,Joe Smooth,796T2ROxTNibXRjVhjSzCa,0.718,0.93,7,-4.532,1,0.038,0.0026,0.0176,0.0363,0.697,128.736
Two Can Play That Game - Radio Edit,Bobby Brown,1gsnWXeNlbfoHpaGRi4oQ0,0.609,0.905,0,-6.792,0,0.0307,0.0104,0.0,0.409,0.878,121.434
Turn Around - Radio Edit,Phats & Small,2nx86MrPkXWQctveAEFJBf,0.797,0.752,6,-7.343,0,0.128,0.0135,0.00496,0.264,0.801,131.932
Samba Magic,Basement Jaxx,6aUT32RDhTo409qBTzdbvg,0.552,0.956,5,-6.96,0,0.047,0.00281,0.784,0.106,0.589,129.889
Big Fun,Inner City,4PyhlL1vrSvPlhYLdphszr,0.677,0.935,3,-11.55,0,0.0514,0.0787,0.376,0.0787,0.965,120.11
Ride on Time,Black Box,3pgainA2dH9c7e8JVYGRCN,0.648,0.858,9,-6.58,0,0.0323,0.00128,0.556,0.0535,0.62,119.031
Don't Stop Movin',Livin' Joy,2P3cEaLNB0qczz4BDB7Mxc,0.739,0.737,9,-7.527,0,0.0485,0.00934,0.0367,0.364,0.864,129.98
Gypsy Woman (She's Homeless) - Radio Edit,Crystal Waters,4PxoDlPrwGtmWqFA4pm57U,0.646,0.904,2,-7.058,0,0.0323,0.044,0.0105,0.0889,0.623,120.005
I Can't Kick This Feeling When It Hits,Moodymann,2PmT3D5xmvVzZCf11L2ifX,0.686,0.634,2,-10.287,0,0.056,0.192,0.858,0.152,0.0783,119.933
Move Your Body,Xpansions,1VLEbclmTbYS9Rdp1b90Yf,0.726,0.72,0,-12.68,1,0.0448,0.00101,0.032,0.352,0.659,121.953
Hideaway - Deep Dish Radio Edit,De'Lacy,2bpmisazTQ49QpLMGZGp1X,0.761,0.959,11,-7.592,1,0.096,0.00389,0.697,0.217,0.477,121.986
Pacific State,808 State,2h7w0KHwHbx4WbG6WxjO7U,0.682,0.979,10,-6.496,0,0.0733,0.0649,0.882,0.14,0.277,124.188
King of My Castle - Roy Malone's King Radio Edit,Wamdue Project,1SjJZewpXEHRuXn7RRszQ5,0.865,0.714,6,-7.824,1,0.064,0.0841,0.657,0.0336,0.831,127.264
Make The World Go Round - Deep Dish Radio Edit,Sandy B,3suUyj7jumc7N0sxNfsdPe,0.74,0.923,0,-6.64,1,0.0605,0.0156,0.0397,0.0684,0.811,121.959
Playing With Knives [Quadrant Mix},Bizarre Inc,3ToxQ1h56CW3lA2zcGtODh,0.733,0.719,11,-7.72,0,0.0618,0.000229,0.547,0.0894,0.753,130.029
Chime - Edit,Orbital,5LOKOBboMIbi4moxpjuFL5,0.726,0.919,8,-13.836,1,0.045,0.000143,0.709,0.0795,0.332,120.952
Rich in Paradise (Going Back to My Roots) - Vocal Remix,FPI Project,7aetPME2AVagb4pKlIVbHM,0.692,0.938,11,-6.25,0,0.0529,0.205,0.0065,0.281,0.71,118.578
Moving on Up,M People,6vGW3d8X48CBaLdU0PQbey,0.899,0.857,0,-6.128,0,0.037,0.0499,0.0299,0.112,0.961,125.072
David Morales - Needin U - Radio Edit,David Morales,4lgDZcisljVlutaku19eqV,0.596,0.979,0,-5.831,1,0.0423,0.000391,0.781,0.259,0.693,130.025
"Sandman - Original 12"" Mix",Blue Boy,1caNzSrWtZhB2UNvSt5EK0,0.739,0.826,1,-8.75,1,0.128,0.000693,0.000144,0.265,0.531,120.881
"The Key, The Secret",Urban Cookie Collective,0Lg4ckCFjFUeyHOeSozcWS,0.702,0.796,10,-6.99,1,0.0315,0.0759,0.00253,0.109,0.607,129.878
Move Any Mountain - Beat Edit,The Shamen,711raAnAVb68JiWeaMFCTd,0.66,0.992,7,-5.283,1,0.0568,0.00285,0.000133,0.0592,0.81,121.459
Everybody Everybody - Le Freak Mix,Black Box,7aqab3VQOMuUNNLI7pL8EJ,0.711,0.72,5,-7.942,0,0.0401,0.00156,2.86e-05,0.0585,0.966,117.549
Pacific 707,808 State,2riROGFV3u0vtPnUT1z9Sc,0.564,0.849,8,-8.352,1,0.0595,0.00972,0.784,0.108,0.503,128.68
Nitelife - Armand Van Helden Retail Mix,Kim English,2F5W5f8COoQKpoGqPcZ1EN,0.793,0.556,1,-17.884,1,0.0502,4.6e-05,0.289,0.0592,0.412,123.022
I'm For Real,Nightmares On Wax,7xkwcX1dsnpT8d1Cu8SBFH,0.403,0.925,10,-7.744,0,0.109,0.00131,0.796,0.111,0.327,190.528
Missing - Todd Terry Club Mix / US Radio Edit,Everything But The Girl,36sL3KPEfXIp5KH3tDO7oo,0.718,0.757,2,-11.869,1,0.0327,0.00925,0.104,0.0851,0.646,123.473
The Whistle Song,Frankie Knuckles,0DwAc0Z8Td3jv5frUznqu1,0.71,0.616,0,-16.306,1,0.116,0.0344,0.225,0.0936,0.398,120.385
Plastic Dreams - Radio Edit,Jaydee,7t020iFDoAjNgc4mjUMBAS,0.731,0.575,7,-13.088,1,0.0334,0.178,0.349,0.0693,0.295,128.819
Turn Up The Bass - Fast Eddie Scratch It Up Mix,Tyree Cooper,4a2VdX9fRz3mFuEP17TnEn,0.762,0.898,7,-6.208,0,0.142,0.000564,5.12e-06,0.122,0.349,126.657
Lady (Hear Me Tonight),Various Artists,2T42itxS9f1ijygkLOLGOe,0.708,0.807,11,-8.195,0,0.0444,0.00182,0.000157,0.124,0.86,129.968
Nothing Better - Tmvs Club Mix,Various Artists,5lAb1UQMTC9ANal1QrFCx2,0.673,0.959,3,-6.802,0,0.085,0.0702,5.79e-05,0.0306,0.875,123.521
Dreamer - Janice Robinson Vocal,Livin' Joy,6wetvpPWooBdmAEOKnDhpo,0.74,0.762,5,-7.166,0,0.0418,0.0131,0.0,0.283,0.832,127.372
The Shelter - Vocal,Kerri Chandler,3QP0Ar3iRtS6GJMRcQryaf,0.886,0.778,1,-8.549,1,0.172,0.0317,0.0175,0.076,0.556,119.573
The World According to Sly & Lovechild - Andrew Weatherall Soul of Europe Mix,Various Artists,0FIkiqcpze2O4eV27SvopI,0.656,0.835,4,-12.399,1,0.0603,0.138,0.32,0.0718,0.47,120.496
Closer Than Close - Mentor UK Mix,Various Artists,3QXB6skc1Qjad5J5yPLlCJ,0.803,0.743,9,-10.065,1,0.069,0.00097,0.503,0.0581,0.488,121.017
London Xpress,X-Press 2,7qE89I8Xw5WPykWtzPvqoD,0.751,0.87,1,-8.894,0,0.0517,9.1e-06,0.911,0.0681,0.647,124.697
Mushrooms - Salt City Orchestra Out There Mix,Marshall Jefferson,2vRbn7ZmxrkEO2SBfxJe3V,0.849,0.448,10,-15.46,0,0.195,0.0265,0.888,0.0808,0.702,124.035
The Only Way Is Up,Yazz,5nlwajOutaUfiSayarrZTy,0.634,0.893,11,-7.432,1,0.0403,0.0619,0.00142,0.161,0.667,124.621
My Feeling - Daddy's Prime Time Edit,Junior Jack,1HkPj9fZFpjAoAUigBAmJS,0.7,0.849,11,-6.561,0,0.129,0.00601,0.0193,0.284,0.449,130.988
Can You Feel It,Mr. Fingers,2jwRKUOBoN1hiMFuuKdIJE,0.68,0.497,9,-12.626,0,0.052,0.0967,0.901,0.078,0.67,114.811
Pasilda - Knee Deep Club Mix,Afro Medusa,2vhLsN2p6FHPPm4LfEBB3N,0.711,0.604,5,-8.675,0,0.0532,0.000882,0.818,0.0859,0.526,127.001
Don't Stop Movin' - Radio Mix,Livin' Joy,5cIU5GZBbyMfgfXGcoQVYc,0.704,0.722,2,-10.815,0,0.0446,0.0287,0.00341,0.297,0.859,129.992
Positive Education,Slam,3RSvIGylwXhu3r83K1bkJJ,0.619,0.862,6,-12.457,1,0.077,0.0258,0.838,0.158,0.761,127.049
Deep Inside,Hardrive,6iNncT0HlEZNVoBQbFrdLs,0.785,0.855,11,-7.425,0,0.0678,0.00842,0.00222,0.148,0.805,123.664
The Theme - Love from San Francisco Remix (2021 Remaster),Hot Lizard,5gbdmN4VMSyZSh33lILpGw,0.76,0.906,2,-6.739,0,0.0563,0.0029,0.925,0.0841,0.444,125.988
Not Forgotten - Hard Hands Remix,Leftfield,4IdjLApIFnK01hRUdQlCLT,0.72,0.678,1,-11.05,1,0.0445,0.000105,0.897,0.0501,0.652,122.649
I'm Gonna Get You,Various Artists,09CsnyDCKkeTYopxheyDcd,0.734,0.882,1,-6.475,1,0.0363,0.0318,0.296,0.041,0.729,126.974
Forever Together,Joey Negro,3e9qkiXwGrDDkJy3iqGgUH,0.754,0.859,8,-8.525,0,0.0536,0.0171,0.0116,0.0468,0.742,123.205
Feels Like Heaven,Urban Cookie Collective,7HlxqDDzdWE3gK0i6fS6Bt,0.639,0.952,1,-5.905,1,0.0364,0.114,0.00267,0.0415,0.787,129.845
The Hunter - Club Mix,Herbal Infusion,4lZVJEAGRVWRkSmN7KKVi8,0.668,0.881,10,-7.344,0,0.0408,0.000567,0.925,0.0947,0.617,119.898
Ebeneezar Goode - Beatmasters Mix,The Shamen,2w6c7A9bfstvqCVOCF6UmV,0.577,0.981,9,-10.328,1,0.0505,0.00303,0.42,0.751,0.172,126.009
French Kiss - The Original Underground Mix,Various Artists,7hnqJYCKZFW7vMoykaraZG,0.689,0.505,6,-13.846,1,0.0867,0.0133,0.818,0.345,0.564,123.948
Jealousy and Lies,Julian Jonah,1fi2dkGPXBGhUOONRG28ky,0.789,0.81,10,-7.859,0,0.0673,0.00169,0.414,0.033,0.695,119.796
Aftermath,Nightmares On Wax,4QJL22Z5At5eGHJsqMpuHd,0.714,0.593,4,-16.222,0,0.0692,2.95e-05,0.922,0.0655,0.316,124.889
Africa,TOTO,2374M0fQpWi3dLnB54qaLX,0.671,0.373,9,-18.064,1,0.0323,0.257,8.01e-05,0.0481,0.732,92.718
Should I Stay or Should I Go - Remastered,The Clash,39shmbIHICJ2Wxnk1fPSdz,0.743,0.836,2,-6.465,1,0.116,0.0804,0.0,0.384,0.82,113.375
Sweet Dreams (Are Made of This) - Remastered,Eurythmics,1TfqLAPs4K3s2rJMoCokcS,0.692,0.711,0,-7.498,0,0.0317,0.225,0.0,0.12,0.875,125.135
Like a Prayer,Madonna,2v7ywbUzCgcVohHaKUcacV,0.66,0.629,5,-12.359,1,0.0387,0.432,7.3e-05,0.172,0.324,111.926
Greatest Love of All,Whitney Houston,6yJxCltgtmGxIgKOS6ndnu,0.502,0.305,9,-16.011,1,0.0339,0.484,3.55e-06,0.117,0.248,131.242
Careless Whisper,George Michael,5WDLRQ3VCdVrKw0njWe5E5,0.575,0.643,2,-8.854,0,0.0331,0.136,1.65e-06,0.249,0.789,152.854
Uptown Girl,Billy Joel,5zA8vzDGqPl2AzZkEYQGKh,0.701,0.944,4,-2.986,1,0.0455,0.0755,0.0,0.601,0.792,128.993
Take on Me,a-ha,2WfaOiMkCvy7F5fcp2zZ8L,0.573,0.902,6,-7.638,0,0.054,0.018,0.00125,0.0928,0.876,84.412
I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,2tUBqZG2AbRi7Q0BIrVrEj,0.709,0.824,1,-8.824,1,0.0453,0.207,0.000307,0.0888,0.867,118.818
I'm So Excited,The Pointer Sisters,2u8MGAiS2hBVE7GZzTZLQI,0.685,0.858,8,-6.496,1,0.0348,0.104,0.000119,0.147,0.692,92.305
Billie Jean,Michael Jackson,5ChkMS8OtdzJeqyybCc9R5,0.92,0.654,11,-3.051,0,0.0401,0.0236,0.0158,0.0359,0.847,117.046
Wake Me Up Before You Go-Go,Wham!,0ikz6tENMONtK6qGkOrU3c,0.62,0.573,0,-11.893,1,0.0423,0.271,0.0,0.0607,0.897,81.548
Listen To Your Heart,Roxette,5JvsxPAHsGxwNq4xto2HtM,0.539,0.583,1,-4.935,0,0.0275,0.108,0.0,0.111,0.337,86.063
Girls Just Want to Have Fun,Cyndi Lauper,4y1LsJpmMti1PfRQV9AWWe,0.71,0.799,6,-4.897,1,0.0328,0.22,0.000602,0.349,0.725,120.372
Back In Black,AC/DC,08mG3Y1vljYA6bvDt4Wqkj,0.31,0.7,9,-5.678,1,0.047,0.011,0.00965,0.0828,0.763,188.386
Heaven Is a Place on Earth,Belinda Carlisle,37Q5anxoGWYdRsyeXkkNoI,0.64,0.852,1,-8.119,0,0.0345,0.0243,1.82e-06,0.0497,0.793,122.902
Every Breath You Take,The Police,1JSTJqkT5qHq8MDJnJbRE1,0.82,0.452,1,-9.796,1,0.0348,0.543,0.00294,0.0714,0.74,117.401
Don't Stop Believin',Journey,4bHsxqR3GMrXTxEPLuK5ue,0.5,0.748,4,-9.072,1,0.0363,0.127,0.0,0.447,0.514,118.852
Break My Stride,Matthew Wilder,1mCsF9Tw4AkIZOjvZbZZdT,0.917,0.588,10,-11.047,1,0.0607,0.195,0.0,0.0914,0.828,110.077
"(I've Had) The Time of My Life - From ""Dirty Dancing"" Soundtrack",Jennifer Warnes,4BFMQ15vXr626UOoZL8bUI,0.7,0.781,6,-8.255,0,0.0507,0.0874,0.00342,0.059,0.385,108.695
Let's Dance - 2018 Remaster,David Bowie,3ix6K4wZY29bCujrSznwFZ,0.654,0.743,10,-7.44,0,0.0605,0.0125,0.0272,0.153,0.632,114.846
Never Gonna Give You Up,Rick Astley,4cOdK2wGLETKBW3PvgPWqT,0.721,0.939,8,-11.823,1,0.0376,0.115,3.79e-05,0.108,0.914,113.309
Total Eclipse of the Heart,Bonnie Tyler,7wuJGgpTNzbUyn26IOY6rj,0.431,0.723,8,-5.887,1,0.0568,0.145,0.0,0.374,0.19,130.141
Brother Louie,Modern Talking,5zWZ9iNevP0397xB3jWV2z,0.783,0.836,0,-9.223,0,0.0486,0.396,0.0236,0.135,0.831,108.966
Blue Monday '88,New Order,31MOjWj3CT3dCQsMV2b8Wu,0.681,0.893,7,-8.485,1,0.0378,6.47e-05,0.383,0.0626,0.951,130.475
"Hungry Eyes - From ""Dirty Dancing"" Soundtrack",Eric Carmen,31H6au3jhblhr6MMJiXnCq,0.712,0.549,5,-9.484,1,0.0254,0.011,0.0,0.118,0.552,109.882
Beat It,Michael Jackson,52xaypL0Kjzk0ngwv3oBPR,0.762,0.8,3,-6.244,0,0.0449,0.027,5.83e-05,0.17,0.9,138.823
You Can Call Me Al,Paul Simon,0qxYx4F3vm1AOnfux6dDxP,0.776,0.763,5,-8.124,1,0.0534,0.182,0.00647,0.077,0.82,128.433
Just Like Heaven,The Cure,4NnWuGQujzWUEg0uZokO5M,0.437,0.94,9,-6.946,1,0.0426,0.0524,0.000573,0.222,0.48,151.417
Cheri Cheri Lady,Modern Talking,2aEuA8PSqLa17Y4hKPj5rr,0.677,0.616,10,-13.826,1,0.032,0.458,0.0132,0.349,0.851,114.223
Time After Time,Cyndi Lauper,7o9uu2GDtVDr9nsR7ZRN73,0.726,0.449,0,-9.206,1,0.0286,0.487,1.34e-06,0.0824,0.294,130.388
"Holding Out for a Hero - From ""Footloose"" Soundtrack",Bonnie Tyler,5Hyr47BBGpvOfcykSCcaw9,0.616,0.685,9,-15.289,0,0.04,0.0245,1.13e-05,0.0491,0.895,150.055
Big in Japan,Alphaville,3BZGi1yUqQyCNC868AqUGG,0.748,0.414,2,-15.15,0,0.0405,0.069,0.0671,0.336,0.239,97.646
Time to Wonder,Fury In The Slaughterhouse,380F1BfICubTjK77XhIPOR,0.415,0.38,9,-8.252,1,0.0423,0.33,7.68e-05,0.148,0.102,114.735
Faith - Remastered,George Michael,0HEmnAUT8PHznIAAmVXqFJ,0.887,0.48,11,-11.994,1,0.117,0.0094,3.58e-05,0.0662,0.607,95.846
Poison,Alice Cooper,5XcZRgJv3zMhTqCyESjQrF,0.28,0.908,2,-5.509,0,0.109,0.0327,8.85e-06,0.18,0.26,118.698
Born in the U.S.A.,Bruce Springsteen,0dOg1ySSI7NkpAe89Zo0b9,0.398,0.952,4,-6.042,1,0.061,0.000373,7.75e-05,0.1,0.584,122.093
Forever Young,Alphaville,4S1VYqwfkLit9mKVY3MXoo,0.489,0.483,9,-9.466,0,0.0275,0.42,0.0028,0.236,0.333,136.822
Just Can't Get Enough,Depeche Mode,0qi4b1l0eT3jpzeNHeFXDT,0.766,0.772,0,-9.362,1,0.0353,0.403,0.0584,0.183,0.919,128.168
Eye of the Tiger,Various Artists,2KH16WveTQWT6KOG9Rg6e2,0.817,0.599,0,-9.249,0,0.0328,0.132,0.000311,0.0873,0.548,108.873
Dancing In the Dark,Bruce Springsteen,7FwBtcecmlpc1sLySPXeGE,0.527,0.942,1,-5.64,0,0.0366,0.0115,0.0,0.188,0.495,148.723
The Final Countdown,Europe,3MrRksHupTVEQ7YbA0FsZK,0.529,0.843,6,-6.908,0,0.0616,0.0628,0.000827,0.0608,0.188,117.662
Karma Chameleon,Culture Club,3XDeeP9wBZzGhIPZmLfEEx,0.661,0.552,10,-12.385,1,0.0337,0.214,0.0,0.206,0.928,92.056
9 to 5,Dolly Parton,4w3tQBXhn5345eUXDGBWZG,0.554,0.783,6,-5.852,1,0.0457,0.416,1.54e-06,0.631,0.813,105.39
Smooth Criminal - 2012 Remaster,Michael Jackson,2bCQHF9gdG5BNDVuEIEnNk,0.853,0.981,8,-3.947,1,0.0751,0.247,0.468,0.306,0.595,118.193
You Spin Me Round (Like a Record),Dead Or Alive,1ChulFMnwxoD74Me8eX2TU,0.554,0.963,6,-3.762,0,0.035,0.000244,0.0702,0.431,0.918,128.175
Don't Dream It's Over,Crowded House,7G7tgVYORlDuVprcYHuFJh,0.439,0.422,8,-17.227,1,0.0409,0.0148,4.84e-05,0.0697,0.551,81.833
You Make My Dreams (Come True),Daryl Hall & John Oates,4o6BgsqLIBViaGVbx5rbRk,0.751,0.501,5,-12.151,1,0.0551,0.234,0.112,0.0467,0.902,167.057
Broken Wings,Mr. Mister,78FHUZRbFDCG6VkRAQdFLm,0.286,0.5,1,-14.281,0,0.0357,0.134,4.57e-05,0.108,0.443,99.162
"Footloose - From ""Footloose"" Soundtrack",Kenny Loggins,4YR6Dextuoc3I8nJ0XgzKI,0.564,0.911,2,-5.39,1,0.0536,0.159,4.36e-05,0.118,0.582,173.938
Hysteria,Def Leppard,2PFIZFcGry0po3ZfRZkzKc,0.659,0.846,7,-5.508,1,0.0274,0.0318,0.0144,0.203,0.659,107.01
Tell It to My Heart,Taylor Dayne,3YVPpVJvJG2EauXurPA90F,0.638,0.988,1,-5.042,1,0.0921,0.0302,1.16e-05,0.371,0.723,117.955
All Out of Love,Air Supply,7dQC53NiYOY9gKg3Qsu2Bs,0.513,0.262,0,-16.875,1,0.0276,0.313,5.51e-06,0.456,0.357,108.383
Always on My Mind,Pet Shop Boys,07ABETRdek3ACMpRPvQuaT,0.533,0.783,7,-10.61,1,0.0366,0.0116,0.0565,0.186,0.726,124.874
How Will I Know,Whitney Houston,5tdKaKLnC4SgtDZ6RlWeal,0.832,0.544,6,-12.697,1,0.0442,0.201,0.000139,0.632,0.928,119.49
Rosanna,TOTO,37BTh5g05cxBIRYMbw8g2T,0.365,0.513,7,-13.034,0,0.0357,0.0208,0.000147,0.205,0.739,80.647
We Didn't Start the Fire,Billy Joel,3Cx4yrFaX8CeHwBMReOWXI,0.712,0.967,7,-5.206,1,0.047,0.0771,0.0,0.356,0.895,145.024
Material Girl,Madonna,22sLuJYcvZOSoLLRYev1s5,0.742,0.883,0,-3.419,1,0.0329,0.333,7.51e-06,0.0964,0.978,136.506
Thriller,Michael Jackson,7azo4rpSUh8nXgtonC6Pkq,0.764,0.887,11,-3.726,1,0.0744,0.0816,0.00011,0.847,0.72,118.427
Smooth Operator - Remastered,Sade,28XDE6yXI6Bp4U3nLSGqzp,0.688,0.684,9,-5.181,0,0.032,0.0757,0.000832,0.0441,0.96,119.193
You Got It,Roy Orbison,6r20M5DWYdIoCDmDViBxuz,0.649,0.618,9,-10.728,1,0.0265,0.596,1.46e-06,0.192,0.667,114.688
Don't You (Forget About Me),Simple Minds,3fH4KjXFYMmljxrcGrbPj9,0.66,0.816,2,-6.61,1,0.0299,0.168,0.0181,0.0608,0.678,111.346
Ghostbusters,Ray Parker Jr.,569uHYIB0X324FZOBEhvit,0.778,0.719,4,-9.698,1,0.0345,0.0123,0.0262,0.297,0.729,115.4
Never Let Me Down Again,Depeche Mode,0T57cTUpYpvSvZ3GowBuTP,0.584,0.897,0,-6.485,1,0.0359,0.297,0.0329,0.7,0.577,106.075
Down Under,Men At Work,46RVKt5Edm1zl0rXhPJZxz,0.746,0.79,11,-4.7,0,0.0257,0.0485,0.0261,0.0534,0.891,107.231
Hungry Like the Wolf - 2009 Remaster,Duran Duran,39lSeqnyjZJejRuaREfyLL,0.691,0.812,0,-7.772,1,0.0558,0.0433,1.16e-06,0.299,0.685,127.568
Saving All My Love for You,Whitney Houston,1lx8ddGT5wCD6W2xmLeRKG,0.636,0.264,6,-14.567,0,0.0263,0.593,4.22e-05,0.275,0.264,99.304
Beds Are Burning - Remastered,Midnight Oil,1CtAzw53AIXKjAemxy4b1j,0.753,0.427,0,-11.112,1,0.0387,0.00787,0.00065,0.058,0.295,119.18
Toy Soldiers,Martika,4jh9olf0OKCokpzxSyLeJx,0.513,0.591,1,-6.407,0,0.0274,0.405,0.0,0.126,0.173,130.167
Nothing's Gonna Stop Us Now,Starship,3X7uFMzJrEE0sxn62qd8Ch,0.643,0.802,6,-4.92,1,0.0227,0.0299,0.0,0.0719,0.53,95.99
I Cry Just a Little Bit,Shakin' Stevens,7tJm0Kl0FBobXB011e82sN,0.798,0.747,11,-5.034,1,0.0485,0.139,0.0,0.0962,0.749,124.286
The Longest Time,Billy Joel,5DH7nDryMhpixm4G4B7RP9,0.637,0.333,3,-9.603,1,0.0262,0.181,0.0,0.147,0.588,84.347
Il veliero,Lucio Battisti,1nAu4E9hsyhIDf8S192m68,0.726,0.488,2,-15.48,1,0.0329,0.0495,0.177,0.0729,0.826,121.055
La vita nuova - Daniele Baldelli & Marco Dionigi Remix,Christine and the Queens,74U9pNsCSdKGwvDIKbG4FO,0.796,0.496,7,-8.23,1,0.0499,0.018,0.169,0.277,0.19,120.011
Ma quale idea,Pino D'Angiò,50f0mt35cIwwu3Krk7nS7b,0.868,0.788,1,-4.321,1,0.0547,0.0334,2.6e-05,0.0801,0.961,114.674
San Salvador - Single Version,Azoto,1bbKMyqOonDvx4DWGowoMD,0.796,0.892,0,-7.87,1,0.0928,0.00574,0.038,0.068,0.891,123.17
Take A Chance - Original Mix,Mr. Flagio,0lLqS6XnoLYJJXHj57h4jz,0.671,0.728,2,-9.78,0,0.0403,0.000372,0.00391,0.385,0.488,118.031
Dolce Vita,Ryan Paris,2fv6Qeb7Z3uaqBeYINvJ0f,0.869,0.682,1,-6.716,1,0.0327,0.179,0.0073,0.135,0.972,121.335
Tonight,Punkin Machine,6CTv5qKVvkxsvSRQfC6SjO,0.934,0.636,6,-10.19,0,0.0489,0.000115,8.02e-05,0.0403,0.947,125.821
Marechià,Nu Genea,1gE7p3b4J8p4ivOCR2CO0Y,0.698,0.686,1,-11.278,0,0.0338,0.133,0.0439,0.0753,0.926,110.068
Tutto va bene quando facciamo l'amore,Alex Rossi,2XtLmRzZSkNOXGRPgae8MA,0.822,0.709,10,-6.808,0,0.0412,0.0231,0.00703,0.0736,0.829,120.01
Exotica (feat. Mind Enterprises),Purple Disco Machine,4b6OuqikQDh0U3dDto7i54,0.709,0.798,1,-7.31,0,0.0438,0.0112,0.775,0.0653,0.399,121.814
Faces - Prod. by Roberto Ferrante - 2020 Remaster,Clio,7zUkx37JJ7iz3ru4Y7Zd26,0.804,0.881,0,-4.369,1,0.0389,0.0856,0.0384,0.0522,0.96,120.067
Enough! - The Juan MacLean Remix,New World,3EaXSUO5riDiAMLn7E3nu5,0.804,0.858,6,-7.032,0,0.0438,0.00937,0.848,0.0635,0.0767,112.001
She Can't Love You,Chemise,3CX1FiiXSbvKjsXRYwApAP,0.926,0.78,4,-6.295,0,0.091,0.186,3.05e-06,0.0933,0.72,114.542
I Need You Tonight,Punkin Machine,12SY1IDzol5dg1yBTUoKYx,0.975,0.57,6,-10.604,0,0.0481,0.0071,0.28,0.072,0.968,126.908
Il ragazzo con la giardinetta - BIONDA MORTA per CIAO 2021,Various Artists,4MaNzGtZ0rUubsm9Zo1ojb,0.796,0.891,2,-4.147,0,0.035,0.296,0.0,0.151,0.654,130.032
Volevi Una Hit - Extended Version,Cristalli Liquidi,1cqMaulAZAoUZfRZlOR29V,0.809,0.6,4,-10.132,0,0.0475,0.173,0.69,0.101,0.862,122.992
Splendido splendente,Donatella Rettore,7vMqQLAA3A7ymNOaICmt2Z,0.829,0.843,4,-6.357,0,0.0336,0.219,0.0,0.151,0.97,118.811
Italo Amore - Musumeci Edit,Future Disco,1xgwRZnFMa0JfV9m0qMAao,0.703,0.737,5,-11.047,0,0.0552,0.00756,0.719,0.198,0.368,119.979
Disco Sole,Nu Genea,4shVjgoOMa73JgBtZIDDz4,0.725,0.905,0,-7.875,0,0.0381,0.441,0.926,0.102,0.79,111.137
Self Control,Raf,42FUNUTTu4dhDhca834rd6,0.784,0.718,4,-8.473,0,0.0307,0.0691,9.91e-06,0.571,0.934,107.195
Body to Body,Various Artists,75nh9TRQMQubdiK82BYdwL,0.814,0.577,5,-9.888,0,0.0333,0.314,0.00304,0.28,0.855,122.964
Wojtila 5. Disco Dance,Various Artists,3VzAUp9l8EnSyFml7qcfGX,0.855,0.461,4,-13.398,0,0.0638,0.0519,0.818,0.0801,0.752,119.058
"Hypnotic Tango - Original 12"" Version",My Mine,3L1bBpBTa1SmGivOhR6DID,0.737,0.586,0,-10.219,0,0.042,0.0605,0.515,0.0632,0.894,119.364
La Bagarre,Alberto Melloni,6VmPUcwaFV2ZCkWT3IrkHm,0.733,0.558,8,-11.825,1,0.0531,0.000678,0.89,0.0936,0.652,121.005
Ti voglio,Ornella Vanoni,14dvepiFqD3a2lBwmVbhB3,0.63,0.727,7,-7.341,0,0.0502,0.0263,0.000117,0.32,0.82,118.182
The Night - Original Remastered Version 2020,Valerie Dore,4IKfk28YxL7xHOflgt3tr4,0.629,0.833,1,-8.925,1,0.0388,0.0373,0.138,0.28,0.806,111.657
Time Machine,Pfeffermouse,3NLKKij3EzPy0b3zKdylBF,0.607,0.861,7,-7.271,1,0.0545,0.000802,0.812,0.108,0.373,123.965
Phazerdelique - Extended Mix,Kim And Buran,3fivmNylnmo2imkmqq5XZZ,0.535,0.969,0,-5.296,1,0.0456,0.022,0.788,0.545,0.936,123.016
Let Me Love Tonight - Radio Version,Electric Mind,6zEAlbxY12vp24gMkiwM1d,0.925,0.675,2,-11.431,0,0.0468,0.227,3.22e-05,0.0535,0.883,114.846
Voices In The Dark,Mike Cannon,2YSpSNkwf2pyo0j3DYaqzY,0.877,0.418,0,-15.113,1,0.0521,0.00655,0.0382,0.148,0.77,125.851
