,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
2367,0.82,0.731,9,-6.02,1,0.159,0.0133,1.94e-05,0.131,0.793,127.076
2368,0.521,0.233,7,-13.683,1,0.0254,0.635,0.0,0.245,0.4,78.93
2369,0.674,0.695,6,-8.636,0,0.278,0.0387,0.00202,0.194,0.773,151.486
2370,0.692,0.911,9,-5.098,0,0.177,0.015,7.71e-05,0.112,0.8,138.975
2371,0.772,0.776,0,-10.641,1,0.0553,0.0508,0.0,0.36,0.723,132.989
2372,0.809,0.965,0,-3.947,1,0.0427,0.177,0.0,0.0577,0.672,130.103
2373,0.633,0.952,9,-4.274,0,0.0338,0.0532,1.73e-06,0.989,0.765,95.423
2374,0.623,0.78,7,-2.939,1,0.0307,0.00342,2.07e-06,0.143,0.635,121.061
2375,0.684,0.889,8,-4.555,0,0.102,0.0307,2.57e-06,0.775,0.582,112.004
2376,0.431,0.823,4,-5.219,1,0.0638,4.6e-05,3.45e-05,0.0447,0.271,150.072
2377,0.444,0.735,4,-9.74,1,0.0526,0.112,0.0,0.637,0.347,145.244
2378,0.855,0.739,1,-6.892,1,0.158,0.0172,0.0,0.15,0.606,103.808
2379,0.551,0.896,9,-3.152,0,0.109,0.033,0.0,0.0899,0.858,171.79
2380,0.735,0.488,9,-10.56,1,0.026,0.596,1.1e-06,0.0949,0.452,102.383
2381,0.736,0.811,9,-4.17,0,0.081,0.00132,0.000142,0.107,0.609,103.502
2382,0.869,0.887,0,-4.505,1,0.0993,0.0605,0.0,0.148,0.784,129.221
2383,0.8,0.563,9,-10.209,1,0.0303,0.051,0.0,0.0797,0.961,121.808
2384,0.751,0.731,6,-4.419,0,0.0308,0.0838,0.0,0.0556,0.973,97.007
2385,0.685,0.67,2,-11.21,0,0.0452,0.168,0.0751,0.0696,0.913,121.3
2386,0.457,0.48,9,-15.776,1,0.03,0.38,0.016,0.142,0.683,157.967
2387,0.222,0.447,10,-9.597,1,0.0284,0.394,0.0226,0.0655,0.287,202.325
2388,0.363,0.229,4,-13.378,1,0.0265,0.809,0.221,0.172,0.488,143.463
2389,0.441,0.583,5,-6.4,1,0.0267,0.544,0.0,0.143,0.523,169.067
2390,0.592,0.422,9,-11.549,1,0.0332,0.614,0.0015,0.158,0.536,94.597
2391,0.534,0.71,4,-10.662,1,0.0392,0.229,0.0,0.932,0.603,121.226
2392,0.558,0.81,2,-4.923,1,0.0466,0.00324,0.0,0.093,0.744,131.486
2393,0.5,0.223,5,-19.453,1,0.0324,0.317,0.167,0.0767,0.203,113.199
2394,0.404,0.492,8,-9.669,0,0.0284,0.0295,0.311,0.129,0.23,129.969
2395,0.386,0.407,6,-7.095,0,0.0268,0.234,1.86e-06,0.0999,0.456,69.387
2396,0.406,0.359,7,-6.145,1,0.0293,0.685,3.67e-06,0.122,0.202,109.246
2397,0.68,0.53,11,-13.105,0,0.0889,0.417,0.011,0.0559,0.352,124.551
2398,0.298,0.38,6,-8.426,1,0.0287,0.778,5.62e-05,0.11,0.152,75.602
2399,0.275,0.762,11,-4.438,0,0.041,0.0178,0.000311,0.0503,0.607,111.894
2400,0.419,0.085,7,-19.387,1,0.0362,0.908,5.33e-06,0.34,0.458,91.509
2401,0.613,0.441,5,-11.999,1,0.0309,0.546,0.0132,0.0869,0.525,87.573
2402,0.625,0.726,11,-11.402,0,0.0444,0.0158,0.000169,0.0625,0.507,124.945
2403,0.442,0.491,7,-6.598,1,0.0246,0.00693,0.00491,0.114,0.125,79.954
2404,0.395,0.252,0,-13.589,1,0.0301,0.8,0.0,0.101,0.126,177.679
2405,0.672,0.52,8,-7.747,1,0.0353,0.859,0.0,0.115,0.37,120.001
2406,0.543,0.395,9,-11.396,1,0.0267,0.701,4.24e-05,0.0961,0.231,94.872
2407,0.551,0.214,0,-16.631,0,0.0282,0.47,0.0,0.141,0.294,75.268
2408,0.549,0.294,0,-13.181,0,0.0337,0.144,0.798,0.108,0.145,115.294
2409,0.477,0.471,6,-10.036,1,0.0277,0.193,1.76e-06,0.131,0.423,81.204
2410,0.43,0.614,8,-8.241,0,0.0317,0.000383,0.0416,0.101,0.247,124.569
2411,0.694,0.801,9,-4.503,0,0.0441,0.00124,0.0,0.479,0.646,119.969
2412,0.572,0.214,7,-15.625,1,0.0293,0.649,0.129,0.125,0.485,95.542
2413,0.477,0.452,10,-10.682,1,0.0285,0.413,0.000133,0.258,0.351,135.142
2414,0.261,0.703,6,-7.871,1,0.0414,0.115,0.00078,0.102,0.405,83.495
2415,0.382,0.589,9,-7.315,0,0.0267,0.0465,0.0,0.122,0.335,140.059
2416,0.487,0.382,7,-10.889,1,0.0309,0.0422,4.74e-06,0.411,0.714,116.557
2417,0.271,0.266,0,-13.703,1,0.0348,0.845,0.00174,0.795,0.163,79.079
2418,0.596,0.134,4,-21.216,1,0.0282,0.933,0.225,0.111,0.107,93.652
2419,0.403,0.417,7,-11.252,1,0.0257,0.5,0.889,0.105,0.251,89.966
2420,0.452,0.736,9,-3.212,1,0.0378,0.297,2.2e-06,0.381,0.24,144.683
2421,0.622,0.692,7,-6.97,1,0.0276,0.363,0.000158,0.193,0.774,112.053
2422,0.726,0.881,9,-3.892,0,0.0391,0.203,0.0,0.108,0.682,110.019
2423,0.32,0.304,2,-14.943,0,0.0361,0.705,7.44e-06,0.642,0.125,163.145
2424,0.706,0.396,9,-12.175,0,0.0248,0.815,0.947,0.0925,0.719,103.986
2425,0.451,0.818,2,-8.124,1,0.0439,0.135,2.92e-05,0.052,0.755,124.532
2426,0.573,0.121,4,-16.014,1,0.0453,0.74,0.0273,0.105,0.463,71.642
2427,0.709,0.716,7,-8.191,1,0.0299,0.488,0.0768,0.0803,0.907,123.83
2428,0.794,0.554,5,-11.462,1,0.289,0.236,9.15e-05,0.125,0.682,134.017
2429,0.435,0.666,6,-10.596,1,0.031,0.254,1.4e-05,0.0541,0.566,176.431
2430,0.418,0.962,4,-8.423,1,0.0567,0.083,0.00282,0.138,0.59,94.141
2431,0.389,0.711,9,-8.349,0,0.0503,0.0207,0.0119,0.242,0.109,128.058
2432,0.203,0.221,1,-12.866,1,0.0378,0.922,0.586,0.128,0.04,90.788
2433,0.323,0.839,1,-7.35,1,0.0503,0.315,0.000313,0.348,0.543,136.232
2434,0.487,0.317,5,-14.414,1,0.0373,0.378,0.0,0.694,0.304,130.509
2435,0.414,0.369,6,-9.606,1,0.0262,0.453,0.501,0.0985,0.17,96.722
2436,0.636,0.677,9,-5.605,1,0.0316,0.265,0.0,0.215,0.837,138.707
2437,0.288,0.933,2,-7.568,1,0.0965,0.0664,0.00152,0.0727,0.563,79.133
2438,0.659,0.521,0,-11.242,0,0.0306,0.479,0.18,0.0727,0.69,96.647
2439,0.367,0.609,9,-11.221,0,0.0457,0.301,0.0243,0.196,0.443,149.386
2440,0.499,0.495,5,-10.508,1,0.0501,0.348,0.0286,0.2,0.339,80.086
2441,0.252,0.0986,7,-17.438,1,0.0296,0.945,0.00387,0.0754,0.115,73.966
2442,0.433,0.644,1,-8.131,1,0.0276,0.00565,0.903,0.119,0.308,89.736
2443,0.441,0.58,5,-5.893,0,0.0291,0.0115,0.0,0.0839,0.17,135.955
2444,0.238,0.559,4,-8.731,0,0.0286,0.0263,0.916,0.16,0.188,174.682
2445,0.547,0.944,5,-6.665,1,0.0398,0.119,0.000244,0.409,0.901,139.213
2446,0.345,0.538,2,-14.615,1,0.0479,0.452,0.667,0.319,0.0848,123.61
2447,0.311,0.473,9,-6.214,0,0.0271,0.52,0.197,0.0805,0.243,145.477
2448,0.255,0.978,9,-7.786,1,0.092,0.0222,0.112,0.393,0.317,111.683
2449,0.438,0.843,4,-5.578,0,0.032,0.207,0.00146,0.911,0.479,90.086
2450,0.366,0.493,0,-8.635,1,0.0336,0.239,0.73,0.172,0.223,173.657
2451,0.407,0.436,0,-9.805,1,0.028,0.645,0.000311,0.19,0.492,90.697
2452,0.441,0.96,4,-5.155,0,0.0683,0.127,0.0324,0.409,0.844,126.709
2453,0.564,0.385,7,-14.396,1,0.0627,0.286,0.905,0.0503,0.418,81.548
2454,0.29,0.838,4,-8.252,0,0.0453,0.176,1.05e-05,0.305,0.711,184.525
2455,0.771,0.283,2,-16.326,1,0.0444,0.198,0.0,0.0888,0.906,77.756
2456,0.387,0.45,0,-10.192,1,0.0275,0.000442,0.0,0.191,0.385,79.652
2457,0.546,0.931,2,-5.753,1,0.03,0.134,1.52e-06,0.314,0.893,135.191
2458,0.578,0.504,2,-9.655,0,0.0278,0.627,0.034,0.11,0.232,131.048
